consulta,frecuencia,sum_cos
como hacer un auto,4,0.09187006008141554
soapbox vehiculo,2,0.2546994947491953
como construir un automovil de carreras,6,0.04115976612988548
automovil soapbox carrera,3,0.116018088766999
construir un auto,3,0.030471829219778108
planes para crear un automovil,5,0.08946399636931719
construir un automovil,3,0.03872451309615706
como construir un automovil,4,0.09024647474973671
soapbox,1,0.3002164361696985
como construir un auto de carreras,6,0.14405274215612474
construir automovil derby soapbox,4,0.42395440071648516
plan basico para construir un auto,6,0.04238024007046817
partes de un automovil,4,0.14234924336474458
roblox como crear autos,4,0.13613250017681017
pasos basicos para construir un auto,6,0.05254708123797446
caracteristicas necesarias para un auto, 5, 0.1453256604186649
soapbox carreras,2, 0.07173771938211436
arquitectura de un automovil,4,0.08285937157212145
autos soapbox, 2, 0.22717208023945776
