consulta,terminos,sum_cos
como hacer un auto,4,2.9081299399185845
soapbox vehiculo,2,2.7453005052508046
como construir un automovil de carreras,6,2.9588402338701147
automovil soapbox carrera,3,2.883981911233001
construir un auto,3,2.969528170780222
planes para crear un automovil,5,2.910536003630683
construir un automovil,3,2.961275486903843
como construir un automovil,4,2.909753525250263
soapbox,1,2.6997835638303016
como construir un auto de carreras,6,2.855947257843875
construir automovil derby soapbox,4,2.576045599283515
plan basico para construir un auto,6,2.957619759929532
partes de un automovil,4,2.8576507566352554
roblox como crear autos,4,2.86386749982319
pasos basicos para construir un auto,6,2.9474529187620258
caracteristicas necesarias para un auto,5,2.854674339581335
soapbox carreras,2,2.9282622806178855
arquitectura de un automovil,4,2.9171406284278785
autos soapbox,2,2.7728279197605423
